RestaurantName,URL,Rewards,Rewards Signup,Gift Cards,Find Card,Online Order
Pies 'n' Thighs,http://www.piesnthighs.com,,,https://www.toasttab.com/pies-n-thighs/giftcards,,https://www.toasttab.com/pies-n-thighs/v2/online-order#!/
The Shortline/The Firebox,https://www.shortlinesushi.com,,,,,https://www.toasttab.com/theshortline/v2/online-order#!/
OC,http://www.organiccornerny.com,,,,,
Brooklyn Pizza Authority,http://www.bkpizzaauthority.com,,,,,
The Corner Restaurant,http://www.thecornerkc.com,,,,,
Fire Wings Manteca,http://www.firewings.com,,,,https://www.toasttab.com/fire-wings/findcard,
The Joint,http://www.TheJointMV.com,,,,,https://www.toasttab.com/the-joint-mount-vernon/v2/online-order#!/
Blue Mermaid,https://www.bluemermaid.com/,,,,,
Night Train Pizza,https://www.nighttrainpizza.com,,,,,https://www.toasttab.com/night-train-pizza/v2/online-order#!/
Tahini,http://www.tahinistreetfood.com,,,,,https://www.toasttab.com/tahini-clairemont/v2/online-order#!/order
Thirty's Craft Pizza & Beers,http://www.thirtyspizza.com,,,,,
Chauncey's Family Dining,http://chaunceysfamilydining.com/home/4401126,,,,,
University of Beer,http://www.theuob.com,,,https://www.toasttab.com/university-of-beer-davis/giftcards,,
Two Boots DTLA,http://www.twoboots.com,,,,,
I Live for Dessert,http://www.ilivefordessert.com,,,,,https://www.toasttab.com/i-live-for-dessert/v2/online-order#!/order
Southwark,http://www.southwarkrestaurant.com,,,,,
Beecher's Handmade Cheese Test,http://www.beechershandmadecheese.com/,,,,,
Good Life Cafe,http://goodlifecafe.net/,,,,,
Nawa,https://www.nawa.live,,,https://www.toasttab.com/nawa/giftcards,,
Birch,http://www.restaurantbirch.com,,,,,
Bread Zeppelin Salads,http://www.breadzeppelin.com,,,https://www.toasttab.com/bread-zeppelin-salads-irving/giftcards,,https://www.toasttab.com/locations/593fa0e9-7486-48f9-bfda-f368baa307c1#!/
8th & English,https://www.8thandenglish.com,,,,,
1845 Taphouse,http://www.1845taphouse.com/,,,https://www.toasttab.com/1845-taphouse/giftcards,https://www.toasttab.com/1845-taphouse/findcard,
Boss Man Burgers,http://bossmanburger.com,,,,,
Procopio's Pizza & Pasta,http://www.procopiosrestaurant.com,,,,,
Hooley House Sports Pub & Grille,https://www.1funpub.com,,https://www.toasttab.com/hooley-house-sport-pub-and-grille-mentor/rewardsSignup,https://www.toasttab.com/hooley-house-sport-pub/giftcards,https://www.toasttab.com/hooley-house-sport-pub/findcard,
Foundry Craft Grillery,https://www.foundrylebanon.com,,,,,
Wham Bam Bagels,http://www.whambamatx.com,,,,,
J. Selby's,http://www.jselbys.com,,,https://www.toasttab.com/j-selby-s/giftcards,,
RQ Mobile Kitchen,http://www.rqbbq.com,,,,,
Slapbox Pizzicheria,http://www.slapboxpizza.com,,,,,https://www.toasttab.com/slapbox-pizzicheria/v2/online-order#!/
Ricardo's Kitchen and Bar,http://chefricardo.com/,,,,,
Lawrence Beer Company,http://www.lawrencebeerco.com,,,,,
The Lantern,http://www.wassaiclanterninn.com,,,,,
Fire Wings Houston,https://www.firewings.com/sacramento-ca-95823,,,,https://www.toasttab.com/fire-wings/findcard,https://www.toasttab.com/fire-wings/v2/online-order#!/
*Hive and Hibernation*,http://www.HiveandHibernation.com,,,,,
Blacksmith's Breads,http://blacksmithsbreads.com,,,https://www.toasttab.com/blacksmithsbreads/giftcards,,
